symboling,aspiration,doornumber,carbody,drivewheel,wheelbase,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,horsepower,price,fabricante,volumen,mpgpromedio
3,std,two,convertible,rwd,88.6,2548,dohc,4,130,mpfi,3.47,111,13495.0,alfa-romero,528019.904,24.0
3,std,two,convertible,rwd,88.6,2548,dohc,4,130,mpfi,3.47,111,16500.0,alfa-romero,528019.904,24.0
1,std,two,hatchback,rwd,94.5,2823,ohcv,6,152,mpfi,2.68,154,16500.0,alfa-romero,587592.6399999999,22.5
2,std,four,sedan,fwd,99.8,2337,ohc,4,109,mpfi,3.19,102,13950.0,audi,634816.956,27.0
2,std,four,sedan,4wd,99.4,2824,ohc,5,136,mpfi,3.19,115,17450.0,audi,636734.8319999999,20.0
2,std,two,sedan,fwd,99.8,2507,ohc,5,136,mpfi,3.19,110,15250.0,audi,624189.969,22.0
1,std,four,sedan,fwd,105.8,2844,ohc,5,136,mpfi,3.19,110,17710.0,audi,766364.0460000001,22.0
1,std,four,wagon,fwd,105.8,2954,ohc,5,136,mpfi,3.19,110,18920.0,audi,766364.0460000001,22.0
1,turbo,four,sedan,fwd,105.8,3086,ohc,5,131,mpfi,3.13,140,23875.0,audi,769115.802,18.5
0,turbo,two,hatchback,4wd,99.5,3053,ohc,5,131,mpfi,3.13,160,17859.167,audi,629188.56,19.0
2,std,two,sedan,rwd,101.2,2395,ohc,4,108,mpfi,3.5,101,16430.0,bmw,622095.5519999999,26.0
0,std,four,sedan,rwd,101.2,2395,ohc,4,108,mpfi,3.5,101,16925.0,bmw,622095.5519999999,26.0
0,std,two,sedan,rwd,101.2,2710,ohc,6,164,mpfi,3.31,121,20970.0,bmw,622095.5519999999,24.5
0,std,four,sedan,rwd,101.2,2765,ohc,6,164,mpfi,3.31,121,21105.0,bmw,622095.5519999999,24.5
1,std,four,sedan,rwd,103.5,3055,ohc,6,164,mpfi,3.31,121,24565.0,bmw,704276.3700000001,22.5
0,std,four,sedan,rwd,103.5,3230,ohc,6,209,mpfi,3.62,182,30760.0,bmw,704276.3700000001,19.0
0,std,two,sedan,rwd,103.5,3380,ohc,6,209,mpfi,3.62,182,41315.0,bmw,706639.3740000002,19.0
0,std,four,sedan,rwd,110.0,3505,ohc,6,209,mpfi,3.62,182,36880.0,bmw,786358.99,17.5
2,std,two,hatchback,fwd,88.4,1488,l,3,61,2bbl,2.91,48,5151.0,chevrolet,452643.156,50.0
1,std,two,hatchback,fwd,94.5,1874,ohc,4,90,2bbl,3.03,70,6295.0,chevrolet,515592.48,40.5
0,std,four,sedan,fwd,94.5,1909,ohc,4,90,2bbl,3.03,70,6575.0,chevrolet,525183.36,40.5
1,std,two,hatchback,fwd,93.7,1876,ohc,4,90,2bbl,2.97,68,5572.0,dodge,509815.59199999995,39.0
1,std,two,hatchback,fwd,93.7,1876,ohc,4,90,2bbl,2.97,68,6377.0,dodge,509815.59199999995,34.5
1,turbo,two,hatchback,fwd,93.7,2128,ohc,4,98,mpfi,3.03,102,7957.0,dodge,509815.59199999995,27.0
1,std,four,hatchback,fwd,93.7,1967,ohc,4,90,2bbl,2.97,68,6229.0,dodge,507808.444,34.5
1,std,four,sedan,fwd,93.7,1989,ohc,4,90,2bbl,2.97,68,6692.0,dodge,507808.444,34.5
1,std,four,sedan,fwd,93.7,1989,ohc,4,90,2bbl,2.97,68,7609.0,dodge,507808.444,34.5
1,turbo,two,sedan,fwd,93.7,2191,ohc,4,98,mpfi,3.03,102,8558.0,dodge,507808.444,27.0
-1,std,four,wagon,fwd,103.3,2535,ohc,4,122,2bbl,3.34,88,8921.0,dodge,674493.7679999998,27.0
3,turbo,two,hatchback,fwd,95.9,2811,ohc,4,156,mfi,3.6,145,12964.0,dodge,576454.632,21.5
2,std,two,hatchback,fwd,86.6,1713,ohc,4,92,1bbl,2.91,58,6479.0,honda,469388.95199999993,51.5
2,std,two,hatchback,fwd,86.6,1819,ohc,4,92,1bbl,2.91,76,6855.0,honda,469388.95199999993,34.5
1,std,two,hatchback,fwd,93.7,1837,ohc,4,79,1bbl,2.91,60,5399.0,honda,504960.0,40.0
1,std,two,hatchback,fwd,93.7,1940,ohc,4,92,1bbl,2.91,76,6529.0,honda,504960.0,32.0
1,std,two,hatchback,fwd,93.7,1956,ohc,4,92,1bbl,2.91,76,7129.0,honda,504960.0,32.0
0,std,four,sedan,fwd,96.5,2010,ohc,4,92,1bbl,2.91,76,7295.0,honda,569939.2000000001,32.0
0,std,four,wagon,fwd,96.5,2024,ohc,4,92,1bbl,2.92,76,7295.0,honda,585255.6269999999,32.0
0,std,two,hatchback,fwd,96.5,2236,ohc,4,110,1bbl,3.15,86,7895.0,honda,582089.2999999999,30.0
0,std,two,hatchback,fwd,96.5,2289,ohc,4,110,1bbl,3.15,86,9095.0,honda,582089.2999999999,30.0
0,std,four,sedan,fwd,96.5,2304,ohc,4,110,1bbl,3.15,86,8845.0,honda,618691.9280000001,30.0
0,std,four,sedan,fwd,96.5,2372,ohc,4,110,1bbl,3.15,86,10295.0,honda,593071.25,30.0
0,std,four,sedan,fwd,96.5,2465,ohc,4,110,mpfi,3.15,101,12945.0,honda,618691.9280000001,26.0
1,std,two,sedan,fwd,96.5,2293,ohc,4,110,2bbl,3.15,100,10345.0,honda,569190.6,28.0
0,std,four,sedan,rwd,94.3,2337,ohc,4,111,2bbl,3.31,78,6785.0,isuzu,564385.4099999999,26.5
1,std,two,sedan,fwd,94.5,1874,ohc,4,90,2bbl,3.03,70,8916.5,isuzu,515592.48,40.5
0,std,four,sedan,fwd,94.5,1909,ohc,4,90,2bbl,3.03,70,8916.5,isuzu,515592.48,40.5
2,std,two,hatchback,rwd,96.0,2734,ohc,4,119,spfi,3.43,90,11048.0,isuzu,578430.928,26.5
0,std,four,sedan,rwd,113.0,4066,dohc,6,258,mpfi,3.63,176,32250.0,jaguar,733506.0479999998,17.0
0,std,four,sedan,rwd,113.0,4066,dohc,6,258,mpfi,3.63,176,35550.0,jaguar,733506.0479999998,17.0
0,std,two,sedan,rwd,102.0,3950,ohcv,12,326,mpfi,3.54,262,36000.0,jaguar,646926.1559999998,15.0
1,std,two,hatchback,fwd,93.1,1890,ohc,4,91,2bbl,3.03,68,5195.0,mazda,552589.302,30.5
1,std,two,hatchback,fwd,93.1,1900,ohc,4,91,2bbl,3.03,68,6095.0,mazda,552589.302,34.5
1,std,two,hatchback,fwd,93.1,1905,ohc,4,91,2bbl,3.03,68,6795.0,mazda,552589.302,34.5
1,std,four,sedan,fwd,93.1,1945,ohc,4,91,2bbl,3.03,68,6695.0,mazda,579333.0960000001,34.5
1,std,four,sedan,fwd,93.1,1950,ohc,4,91,2bbl,3.08,68,7395.0,mazda,579333.0960000001,34.5
3,std,two,hatchback,rwd,95.3,2380,rotor,2,70,4bbl,3.33,101,10945.0,mazda,550723.68,20.0
3,std,two,hatchback,rwd,95.3,2380,rotor,2,70,4bbl,3.33,101,11845.0,mazda,550723.68,20.0
3,std,two,hatchback,rwd,95.3,2385,rotor,2,70,4bbl,3.33,101,13645.0,mazda,550723.68,20.0
3,std,two,hatchback,rwd,95.3,2500,rotor,2,80,mpfi,3.33,135,15645.0,mazda,550723.68,19.5
1,std,two,hatchback,fwd,98.8,2385,ohc,4,122,2bbl,3.39,84,8845.0,mazda,634932.6900000001,29.0
0,std,four,sedan,fwd,98.8,2410,ohc,4,122,2bbl,3.39,84,8495.0,mazda,656215.3500000001,29.0
1,std,two,hatchback,fwd,98.8,2385,ohc,4,122,2bbl,3.39,84,10595.0,mazda,634932.6900000001,29.0
0,std,four,sedan,fwd,98.8,2410,ohc,4,122,2bbl,3.39,84,10245.0,mazda,656215.3500000001,29.0
0,std,four,sedan,fwd,98.8,2443,ohc,4,122,idi,3.39,64,10795.0,mazda,656215.3500000001,39.0
0,std,four,hatchback,fwd,98.8,2425,ohc,4,122,2bbl,3.39,84,11245.0,mazda,656215.3500000001,29.0
0,std,four,sedan,rwd,104.9,2670,ohc,4,140,mpfi,3.76,120,18280.0,mazda,629271.9999999999,23.0
0,std,four,sedan,rwd,104.9,2700,ohc,4,134,idi,3.43,72,18344.0,mazda,629271.9999999999,35.0
-1,turbo,four,sedan,rwd,110.0,3515,ohc,5,183,idi,3.58,123,25552.0,buick,758245.255,23.5
-1,turbo,four,wagon,rwd,110.0,3750,ohc,5,183,idi,3.58,123,28248.0,buick,787769.849,23.5
0,turbo,two,hardtop,rwd,106.7,3495,ohc,5,183,idi,3.58,123,28176.0,buick,723650.625,23.5
-1,turbo,four,sedan,rwd,115.6,3770,ohc,5,183,idi,3.58,123,31600.0,buick,817837.446,23.5
-1,std,four,sedan,rwd,115.6,3740,ohcv,8,234,mpfi,3.46,155,34184.0,buick,820742.73,17.0
3,std,two,convertible,rwd,96.6,3685,ohcv,8,234,mpfi,3.46,155,35056.0,buick,645726.42,17.0
0,std,four,sedan,rwd,120.9,3900,ohcv,8,308,mpfi,3.8,184,40960.0,buick,846007.6590000001,15.0
1,std,two,hardtop,rwd,112.0,3715,ohcv,8,304,mpfi,3.8,184,45400.0,buick,794568.96,15.0
1,turbo,two,hatchback,rwd,102.7,2910,ohc,4,140,mpfi,3.78,175,16503.0,mercury,664789.76,21.5
2,std,two,hatchback,fwd,93.7,1918,ohc,4,92,2bbl,2.97,68,5389.0,mitsubishi,514610.096,39.0
2,std,two,hatchback,fwd,93.7,1944,ohc,4,92,2bbl,2.97,68,6189.0,mitsubishi,514610.096,34.5
2,std,two,hatchback,fwd,93.7,2004,ohc,4,92,2bbl,2.97,68,6669.0,mitsubishi,514610.096,34.5
1,turbo,two,hatchback,fwd,93.0,2145,ohc,4,98,spdi,3.03,102,7689.0,mitsubishi,509815.59199999995,27.0
3,turbo,two,hatchback,fwd,96.3,2370,ohc,4,110,spdi,3.17,116,9959.0,mitsubishi,558921.48,26.5
3,std,two,hatchback,fwd,96.3,2328,ohc,4,122,2bbl,3.35,88,8499.0,mitsubishi,558921.48,28.5
3,turbo,two,hatchback,fwd,95.9,2833,ohc,4,156,spdi,3.58,145,12629.0,mitsubishi,576454.632,21.5
3,turbo,two,hatchback,fwd,95.9,2921,ohc,4,156,spdi,3.59,145,14869.0,mitsubishi,576454.632,21.5
3,turbo,two,hatchback,fwd,95.9,2926,ohc,4,156,spdi,3.59,145,14489.0,mitsubishi,576454.632,21.5
1,std,four,sedan,fwd,96.3,2365,ohc,4,122,2bbl,3.35,88,6989.0,mitsubishi,581787.9360000001,28.5
1,std,four,sedan,fwd,96.3,2405,ohc,4,122,2bbl,3.35,88,8189.0,mitsubishi,581787.9360000001,28.5
1,turbo,four,sedan,fwd,96.3,2403,ohc,4,110,spdi,3.17,116,9279.0,mitsubishi,581787.9360000001,26.5
-1,std,four,sedan,fwd,96.3,2403,ohc,4,110,spdi,3.17,116,9279.0,mitsubishi,581787.9360000001,26.5
1,std,two,sedan,fwd,94.5,1889,ohc,4,97,2bbl,3.15,69,5499.0,nissan,574764.63,34.0
1,std,two,sedan,fwd,94.5,2017,ohc,4,103,idi,2.99,55,7099.0,nissan,574764.63,47.5
1,std,two,sedan,fwd,94.5,1918,ohc,4,97,2bbl,3.15,69,6649.0,nissan,574764.63,34.0
1,std,four,sedan,fwd,94.5,1938,ohc,4,97,2bbl,3.15,69,6849.0,nissan,574764.63,34.0
1,std,four,wagon,fwd,94.5,2024,ohc,4,97,2bbl,3.15,69,7349.0,nissan,580943.6599999999,34.0
1,std,two,sedan,fwd,94.5,1951,ohc,4,97,2bbl,3.15,69,7299.0,nissan,574764.63,34.0
1,std,two,hatchback,fwd,94.5,2028,ohc,4,97,2bbl,3.15,69,7799.0,nissan,563129.4239999999,34.0
1,std,four,sedan,fwd,94.5,1971,ohc,4,97,2bbl,3.15,69,7499.0,nissan,574764.63,34.0
1,std,four,wagon,fwd,94.5,2037,ohc,4,97,2bbl,3.15,69,7999.0,nissan,580943.6599999999,34.0
2,std,two,hardtop,fwd,95.1,2008,ohc,4,97,2bbl,3.15,69,8249.0,nissan,552247.696,34.0
0,std,four,hatchback,fwd,97.2,2324,ohc,4,120,2bbl,3.33,97,8949.0,nissan,618420.696,30.5
0,std,four,sedan,fwd,97.2,2302,ohc,4,120,2bbl,3.33,97,9549.0,nissan,618420.696,30.5
0,std,four,sedan,fwd,100.4,3095,ohcv,6,181,mpfi,3.43,152,13499.0,nissan,665776.0549999999,19.5
0,std,four,wagon,fwd,100.4,3296,ohcv,6,181,mpfi,3.43,152,14399.0,nissan,688677.99,19.5
0,std,four,sedan,fwd,100.4,3060,ohcv,6,181,mpfi,3.43,152,13499.0,nissan,676402.09,22.0
3,std,two,hatchback,rwd,91.3,3071,ohcv,6,181,mpfi,3.43,160,17199.0,nissan,576049.341,22.0
3,turbo,two,hatchback,rwd,91.3,3139,ohcv,6,181,mpfi,3.43,200,19699.0,nissan,576049.341,20.0
1,std,two,hatchback,rwd,99.2,3139,ohcv,6,181,mpfi,3.43,160,18399.0,nissan,602371.4550000001,22.0
0,std,four,sedan,rwd,107.9,3020,l,4,120,mpfi,3.46,97,11900.0,peugeot,724074.876,21.5
0,turbo,four,sedan,rwd,107.9,3197,l,4,152,idi,3.7,95,13200.0,peugeot,724074.876,30.5
0,std,four,wagon,rwd,114.2,3230,l,4,120,mpfi,3.46,97,12440.0,peugeot,798599.4120000001,21.5
0,turbo,four,wagon,rwd,114.2,3430,l,4,152,idi,3.7,95,13860.0,peugeot,798599.4120000001,25.0
0,std,four,sedan,rwd,107.9,3075,l,4,120,mpfi,3.46,95,15580.0,peugeot,724074.876,21.5
0,turbo,four,sedan,rwd,107.9,3252,l,4,152,idi,3.7,95,16900.0,peugeot,724074.876,30.5
0,std,four,wagon,rwd,114.2,3285,l,4,120,mpfi,3.46,95,16695.0,peugeot,771389.8920000001,21.5
0,turbo,four,wagon,rwd,114.2,3485,l,4,152,idi,3.7,95,17075.0,peugeot,798599.4120000001,25.0
0,std,four,sedan,rwd,107.9,3075,l,4,120,mpfi,3.46,97,16630.0,peugeot,724074.876,21.5
0,turbo,four,sedan,rwd,107.9,3252,l,4,152,idi,3.7,95,17950.0,peugeot,724074.876,30.5
0,turbo,four,sedan,rwd,108.0,3130,l,4,134,mpfi,3.61,142,18150.0,peugeot,714090.1599999999,21.0
1,std,two,hatchback,fwd,93.7,1918,ohc,4,90,2bbl,2.97,68,5572.0,plymouth,509815.59199999995,39.0
1,turbo,two,hatchback,fwd,93.7,2128,ohc,4,98,spdi,3.03,102,7957.0,plymouth,509815.59199999995,27.0
1,std,four,hatchback,fwd,93.7,1967,ohc,4,90,2bbl,2.97,68,6229.0,plymouth,507808.444,34.5
1,std,four,sedan,fwd,93.7,1989,ohc,4,90,2bbl,2.97,68,6692.0,plymouth,542225.992,34.5
1,std,four,sedan,fwd,93.7,2191,ohc,4,98,2bbl,2.97,68,7609.0,plymouth,542225.992,34.5
-1,std,four,wagon,fwd,103.3,2535,ohc,4,122,2bbl,3.35,88,8921.0,plymouth,674493.7679999998,27.0
3,turbo,two,hatchback,rwd,95.9,2818,ohc,4,156,spdi,3.59,145,12764.0,plymouth,576454.632,21.5
3,std,two,hatchback,rwd,94.5,2778,ohc,4,151,mpfi,3.94,143,22018.0,porsche,579100.6740000001,23.0
3,std,two,hardtop,rwd,89.5,2756,ohcf,6,194,mpfi,3.74,207,32528.0,porsche,566490.6,21.0
3,std,two,hardtop,rwd,89.5,2756,ohcf,6,194,mpfi,3.74,207,34028.0,porsche,566490.6,21.0
3,std,two,convertible,rwd,89.5,2800,ohcf,6,194,mpfi,3.74,207,37028.0,porsche,566490.6,21.0
1,std,two,hatchback,rwd,98.4,3366,dohcv,8,203,mpfi,3.94,288,31400.5,porsche,641507.0549999999,22.5
0,std,four,wagon,fwd,96.1,2579,ohc,4,132,mpfi,3.46,90,9295.0,renault,666250.2000000001,27.0
2,std,two,hatchback,fwd,96.1,2460,ohc,4,132,mpfi,3.46,90,9895.0,renault,594631.44,27.0
3,std,two,hatchback,fwd,99.1,2658,ohc,4,121,mpfi,3.54,110,11850.0,saab,696139.29,24.5
2,std,four,sedan,fwd,99.1,2695,ohc,4,121,mpfi,3.54,110,12170.0,saab,696139.29,24.5
3,std,two,hatchback,fwd,99.1,2707,ohc,4,121,mpfi,2.54,110,15040.0,saab,696139.29,24.5
2,std,four,sedan,fwd,99.1,2758,ohc,4,121,mpfi,3.54,110,15510.0,saab,696139.29,24.5
3,turbo,two,hatchback,fwd,99.1,2808,dohc,4,121,mpfi,3.54,160,18150.0,saab,696139.29,22.5
2,turbo,four,sedan,fwd,99.1,2847,dohc,4,121,mpfi,3.54,160,18620.0,saab,696139.29,22.5
2,std,two,hatchback,fwd,93.7,2050,ohcf,4,97,2bbl,3.62,69,5118.0,subaru,534178.6020000001,33.5
2,std,two,hatchback,fwd,93.7,2120,ohcf,4,108,2bbl,3.62,73,7053.0,subaru,539279.028,28.5
2,std,two,hatchback,4wd,93.3,2240,ohcf,4,108,2bbl,3.62,73,7603.0,subaru,558990.718,28.5
0,std,four,sedan,fwd,97.2,2145,ohcf,4,108,2bbl,3.62,82,7126.0,subaru,590562.0,34.5
0,std,four,sedan,fwd,97.2,2190,ohcf,4,108,2bbl,3.62,82,7775.0,subaru,590562.0,30.5
0,std,four,sedan,fwd,97.2,2340,ohcf,4,108,mpfi,3.62,94,9960.0,subaru,590562.0,29.0
0,std,four,sedan,4wd,97.0,2385,ohcf,4,108,2bbl,3.62,82,9233.0,subaru,610809.8400000001,24.5
0,turbo,four,sedan,4wd,97.0,2510,ohcf,4,108,mpfi,3.62,111,11259.0,subaru,610809.8400000001,26.5
0,std,four,wagon,fwd,97.0,2290,ohcf,4,108,2bbl,3.62,82,7463.0,subaru,601385.7000000001,30.0
0,std,four,wagon,fwd,97.0,2455,ohcf,4,108,mpfi,3.62,94,10198.0,subaru,601385.7000000001,28.0
0,std,four,wagon,4wd,96.9,2420,ohcf,4,108,2bbl,3.62,82,8013.0,subaru,623303.856,26.0
0,turbo,four,wagon,4wd,96.9,2650,ohcf,4,108,mpfi,3.62,111,11694.0,subaru,623303.856,23.0
1,std,two,hatchback,fwd,95.7,1985,ohc,4,92,2bbl,3.05,62,5348.0,toyota,550085.94,37.0
1,std,two,hatchback,fwd,95.7,2040,ohc,4,92,2bbl,3.05,62,6338.0,toyota,550085.94,34.5
1,std,four,hatchback,fwd,95.7,2015,ohc,4,92,2bbl,3.05,62,6488.0,toyota,550085.94,34.5
0,std,four,wagon,fwd,95.7,2280,ohc,4,92,2bbl,3.05,62,6918.0,toyota,637861.572,34.0
0,std,four,wagon,4wd,95.7,2290,ohc,4,92,2bbl,3.05,62,7898.0,toyota,637861.572,29.5
0,std,four,wagon,4wd,95.7,3110,ohc,4,92,2bbl,3.05,62,8778.0,toyota,637861.572,29.5
0,std,four,sedan,fwd,95.7,2081,ohc,4,98,2bbl,3.19,70,6938.0,toyota,567615.16,33.5
0,std,four,hatchback,fwd,95.7,2109,ohc,4,98,2bbl,3.19,70,7198.0,toyota,565473.216,33.5
0,std,four,sedan,fwd,95.7,2275,ohc,4,110,idi,3.27,56,7898.0,toyota,567615.16,35.0
0,std,four,hatchback,fwd,95.7,2275,ohc,4,110,idi,3.27,56,7788.0,toyota,565473.216,42.5
0,std,four,sedan,fwd,95.7,2094,ohc,4,98,2bbl,3.19,70,7738.0,toyota,567615.16,42.5
0,std,four,hatchback,fwd,95.7,2122,ohc,4,98,2bbl,3.19,70,8358.0,toyota,565473.216,31.0
0,std,four,sedan,fwd,95.7,2140,ohc,4,98,2bbl,3.19,70,9258.0,toyota,565473.216,31.0
1,std,two,sedan,rwd,94.5,2169,ohc,4,98,2bbl,3.19,70,8058.0,toyota,567911.6799999999,31.5
1,std,two,hatchback,rwd,94.5,2204,ohc,4,98,2bbl,3.19,70,8238.0,toyota,567911.6799999999,31.5
1,std,two,sedan,rwd,94.5,2265,dohc,4,98,mpfi,3.24,112,9298.0,toyota,567911.6799999999,27.5
1,std,two,hatchback,rwd,94.5,2300,dohc,4,98,mpfi,3.24,112,9538.0,toyota,567911.6799999999,27.5
2,std,two,hardtop,rwd,98.4,2540,ohc,4,146,mpfi,3.62,116,8449.0,toyota,601053.4399999998,27.0
2,std,two,hardtop,rwd,98.4,2536,ohc,4,146,mpfi,3.62,116,9639.0,toyota,601053.4399999998,27.0
2,std,two,hatchback,rwd,98.4,2551,ohc,4,146,mpfi,3.62,116,9989.0,toyota,601053.4399999998,27.0
2,std,two,hardtop,rwd,98.4,2679,ohc,4,146,mpfi,3.62,116,11199.0,toyota,601053.4399999998,27.0
2,std,two,hatchback,rwd,98.4,2714,ohc,4,146,mpfi,3.62,116,11549.0,toyota,601053.4399999998,27.0
2,std,two,convertible,rwd,98.4,2975,ohc,4,146,mpfi,3.62,116,17669.0,toyota,612612.1599999999,27.0
-1,std,four,sedan,fwd,102.4,2326,ohc,4,122,mpfi,3.31,92,8948.0,toyota,641089.26,31.5
-1,turbo,four,sedan,fwd,102.4,2480,ohc,4,110,idi,3.27,73,10698.0,toyota,641089.26,31.5
-1,std,four,hatchback,fwd,102.4,2414,ohc,4,122,mpfi,3.31,92,9988.0,toyota,629411.86,29.5
-1,std,four,sedan,fwd,102.4,2414,ohc,4,122,mpfi,3.31,92,10898.0,toyota,641089.26,29.5
-1,std,four,hatchback,fwd,102.4,2458,ohc,4,122,mpfi,3.31,92,11248.0,toyota,629411.86,29.5
3,std,two,hatchback,rwd,102.9,2976,dohc,6,171,mpfi,3.27,161,16558.0,toyota,645993.4,22.0
3,std,two,hatchback,rwd,102.9,3016,dohc,6,171,mpfi,3.27,161,15998.0,toyota,645993.4,21.5
-1,std,four,sedan,rwd,104.5,3131,dohc,6,171,mpfi,3.27,156,15690.0,toyota,675638.67,22.0
-1,std,four,wagon,rwd,104.5,3151,dohc,6,161,mpfi,3.27,156,15750.0,toyota,675638.67,21.5
2,std,two,sedan,fwd,97.3,2261,ohc,4,97,idi,3.01,52,7775.0,volkswagen,626421.695,41.5
2,std,two,sedan,fwd,97.3,2209,ohc,4,109,mpfi,3.19,85,7975.0,volkswagen,626421.695,30.5
2,std,four,sedan,fwd,97.3,2264,ohc,4,97,idi,3.01,52,7995.0,volkswagen,626421.695,41.5
2,std,four,sedan,fwd,97.3,2212,ohc,4,109,mpfi,3.19,85,8195.0,volkswagen,626421.695,30.5
2,std,four,sedan,fwd,97.3,2275,ohc,4,109,mpfi,3.19,85,8495.0,volkswagen,626421.695,30.5
2,turbo,four,sedan,fwd,97.3,2319,ohc,4,97,idi,3.01,68,9495.0,volkswagen,626421.695,39.5
2,std,four,sedan,fwd,97.3,2300,ohc,4,109,mpfi,3.19,100,9995.0,volkswagen,626421.695,29.0
3,std,two,convertible,fwd,94.5,2254,ohc,4,109,mpfi,3.19,90,11595.0,volkswagen,568624.5360000001,26.5
3,std,two,hatchback,fwd,94.5,2221,ohc,4,109,mpfi,3.19,90,9980.0,volkswagen,545086.72,26.5
0,std,four,sedan,fwd,100.4,2661,ohc,5,136,mpfi,3.19,110,13295.0,volkswagen,664251.4380000001,21.5
0,turbo,four,sedan,fwd,100.4,2579,ohc,4,97,idi,3.01,68,13845.0,volkswagen,664251.4380000001,35.5
0,std,four,wagon,fwd,100.4,2563,ohc,4,109,mpfi,3.19,88,12290.0,volkswagen,674941.3890000001,28.0
-2,std,four,sedan,rwd,104.3,2912,ohc,4,141,mpfi,3.78,114,12940.0,volvo,713029.6320000001,25.5
-1,std,four,wagon,rwd,104.3,3034,ohc,4,141,mpfi,3.78,114,13415.0,volvo,729523.2000000001,25.5
-2,std,four,sedan,rwd,104.3,2935,ohc,4,141,mpfi,3.78,114,15985.0,volvo,713029.6320000001,26.0
-1,std,four,wagon,rwd,104.3,3042,ohc,4,141,mpfi,3.78,114,16515.0,volvo,729523.2000000001,26.0
-2,turbo,four,sedan,rwd,104.3,3045,ohc,4,130,mpfi,3.62,162,18420.0,volvo,713029.6320000001,19.5
-1,turbo,four,wagon,rwd,104.3,3157,ohc,4,130,mpfi,3.62,162,18950.0,volvo,729523.2000000001,19.5
-1,std,four,sedan,rwd,109.1,2952,ohc,4,141,mpfi,3.78,114,16845.0,volvo,721961.7600000001,25.5
-1,turbo,four,sedan,rwd,109.1,3049,ohc,4,141,mpfi,3.78,160,19045.0,volvo,720913.92,22.0
-1,std,four,sedan,rwd,109.1,3012,ohcv,6,173,mpfi,3.58,134,21485.0,volvo,721961.7600000001,20.5
-1,turbo,four,sedan,rwd,109.1,3217,ohc,6,145,idi,3.01,106,22470.0,volvo,721961.7600000001,26.5
-1,turbo,four,sedan,rwd,109.1,3062,ohc,4,141,mpfi,3.78,114,22625.0,volvo,721961.7600000001,22.0
